"","source","target","value"
"334","Lasioglossum (Chilalictus) ebeneum","Dillwynia tenuifolia",1
"335","Lasioglossum (Chilalictus) ebeneum","Eremophila longifolia",5
"336","Lasioglossum (Chilalictus) ebeneum","Eremophila mitchellii",13
"337","Lasioglossum (Chilalictus) ebeneum","Eremophila sp",2
"338","Lasioglossum (Chilalictus) ebeneum","Eremophila sturtii",6
"339","Lasioglossum (Chilalictus) ebeneum","Hakea tephrosperma",1
"340","Lasioglossum (Chilalictus) ebeneum","Jacksonia scoparia",1
"341","Lasioglossum (Chilalictus) ebeneum","Keraudrenia integrifolia",2
"342","Lasioglossum (Chilalictus) ebeneum","Micromyrtus blakelyi",1
"343","Lasioglossum (Chilalictus) ebeneum","Monotoca scoparia",1
"344","Lasioglossum (Chilalictus) ebeneum","Petalostylis labicheoides",1
"345","Lasioglossum (Chilalictus) ebeneum","Platysace linearifolia",1
"346","Lasioglossum (Chilalictus) eremaean","Acacia oswaldi",1
"347","Lasioglossum (Chilalictus) eremaean","Cullen australasicum",1
"348","Lasioglossum (Chilalictus) eremaean","Disphyma crassifolium",1
"349","Lasioglossum (Chilalictus) eremaean","Eremophila christophori",1
"350","Lasioglossum (Chilalictus) eremaean","Eremophila deserti",5
"351","Lasioglossum (Chilalictus) eremaean","Eremophila sturtii",11
"352","Lasioglossum (Chilalictus) eremaean","Frankenia sp",1
"353","Lasioglossum (Chilalictus) eremaean","Leucochrysum albicans",11
"354","Lasioglossum (Chilalictus) eremaean","Mesembryanthemum crystallinum",3
"355","Lasioglossum (Chilalictus) eremaean","Polycalymma stuartii",22
"356","Lasioglossum (Chilalictus) eremaean","Reichardia tingitana",2
"357","Lasioglossum (Chilalictus) eremaean","Swainsona purpurea",1
"358","Lasioglossum (Chilalictus) eremaean","Wahlenbergia sp",6
"359","Lasioglossum (Chilalictus) eremophilum","Eremophila scoparia",2
"360","Lasioglossum (Chilalictus) eremophilum","Melaleuca sp",1
"361","Lasioglossum (Chilalictus) erythrurum","Taraxacum officinale",1
"362","Lasioglossum (Chilalictus) erythrurum","Angophora floribunda",3
"363","Lasioglossum (Chilalictus) erythrurum","Angophora hispida",1
"364","Lasioglossum (Chilalictus) erythrurum","Bursaria spinosa",1
"365","Lasioglossum (Chilalictus) erythrurum","Echium plantagineum",3
"366","Lasioglossum (Chilalictus) erythrurum","Eremophila deserti",1
"367","Lasioglossum (Chilalictus) erythrurum","Eucalyptus robusta",2
"368","Lasioglossum (Chilalictus) erythrurum","Eucalyptus sideroxylon",2
"369","Lasioglossum (Chilalictus) erythrurum","Hakea tephrosperma",1
"370","Lasioglossum (Chilalictus) erythrurum","Hibbertia sp",1
"371","Lasioglossum (Chilalictus) erythrurum","Kunzea ambigua",1
"372","Lasioglossum (Chilalictus) erythrurum","Leptospermum polygalifolium",1
"373","Lasioglossum (Chilalictus) erythrurum","Leptospermum sp",2
"374","Lasioglossum (Chilalictus) erythrurum","Melaleuca sp",1
"375","Lasioglossum (Chilalictus) erythrurum","Melaleuca uncinata",1
"376","Lasioglossum (Chilalictus) erythrurum","Mirbelia platylobioides",3
"377","Lasioglossum (Chilalictus) erythrurum","Monotoca scoparia",3
"378","Lasioglossum (Chilalictus) erythrurum","Platysace linearifolia",2
"379","Lasioglossum (Chilalictus) erythrurum","Senna sp",1
"380","Lasioglossum (Chilalictus) eurycephalum","Brunonia australis",1
"381","Lasioglossum (Chilalictus) eurycephalum","Eremophila bowmanii",1
"382","Lasioglossum (Chilalictus) eurycephalum","Eremophila goodwinii",2
"383","Lasioglossum (Chilalictus) eurycephalum","Eremophila mitchellii",2
"384","Lasioglossum (Chilalictus) eurycephalum","Eremophila sturtii",3
"385","Lasioglossum (Chilalictus) eurycephalum","Minuria leptophylla",1
"386","Lasioglossum (Chilalictus) eurycephalum","Senna artemisiodes",1
"387","Lasioglossum (Chilalictus) eurycephalum","Senna sp",7
"388","Lasioglossum (Chilalictus) expansifrons","Acacia colletoides",3
"389","Lasioglossum (Chilalictus) expansifrons","Acacia johnsonii",1
"390","Lasioglossum (Chilalictus) expansifrons","Eremophila mitchellii",7
"391","Lasioglossum (Chilalictus) expansifrons","Eucalyptus socialis",1
"392","Lasioglossum (Chilalictus) expansifrons","Eucalyptus sp",2
"393","Lasioglossum (Chilalictus) expansifrons","Melaleuca decussata",4
"394","Lasioglossum (Chilalictus) expansifrons","Melaleuca uncinata",1
"395","Lasioglossum (Chilalictus) expansifrons","Pultenaea flexilis",3
"396","Lasioglossum (Chilalictus) expansifrons","Senna circinata",4
"397","Lasioglossum (Chilalictus) fasciatum","Disphyma crassifolium",4
"398","Lasioglossum (Chilalictus) fasciatum","Eremophila polyclada",6
"399","Lasioglossum (Chilalictus) fasciatum","Eremophila scoparia",1
